pass_id,event_name,event_type,category,full_name,id_number,phone,organizer,valid_from,valid_to,gate,table_number,group_ref,issued_by
GPX-OPERATOR-2026-0019,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,B & C  INTERNATIONAL TRAVEL LTD,AHUON-OP-019,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0020,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,BABUSSALAM TRAVEL & TOURS LTD,AHUON-OP-020,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0021,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,BAGANA TRAVELS LIMITED,AHUON-OP-021,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0022,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,BELAS TRAVELS & TOURS LTD,AHUON-OP-022,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0023,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,BLUE ALKO TRAVEL AND TOURS LTD,AHUON-OP-023,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0024,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,BLUE WING TRAVELS & TOURS  LTD,AHUON-OP-024,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0025,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,COASTLINE INVESTMENT LIMITED,AHUON-OP-025,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0026,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DAN BARE TRAVEL AGENCY LTD,AHUON-OP-026,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0027,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DAN KANO TRAVEL & TOURS LTD,AHUON-OP-027,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0028,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DANGI SYNERGY LIMITED,AHUON-OP-028,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0029,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DANMARAYA TRAVEL AND TOURS,AHUON-OP-029,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0030,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,EARTH TRAVEL & TOURS LTD,AHUON-OP-030,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0031,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,EL-JAMEEL INTERNATIONAL TRAVELS LTD,AHUON-OP-031,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0032,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,EMINESTA TRAVEL & TOURS LTD,AHUON-OP-032,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-4,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0033,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,FAN AFRICA TRAVEL & TOURS LTD,AHUON-OP-033,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0034,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,FARIN WATA TRAVEL & TOURS LTD,AHUON-OP-034,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0035,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,FASUL TRAVEL & TOURS LTD,AHUON-OP-035,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0036,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,FIRDAUSI TRANSPORT SERVICES LTD,AHUON-OP-036,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0037,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,GASKIYA TOURISM & TRAVEL AGENCY LTD,AHUON-OP-037,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0038,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,GILASO AIR SERVICES LTD,AHUON-OP-038,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0039,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,GUB TRAVELS & TOURS LIMITED,AHUON-OP-039,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0040,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,HAMSYL TRAVEL & TOURS LTD,AHUON-OP-040,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-5,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0041,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,HAYAT GOLDEN & CONSULT TRAVEL AND TOURS LIMITED,AHUON-OP-041,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0042,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,HIJABA TRAVELS AND TOURS LTD,AHUON-OP-042,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0043,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,INSIBAL TRAVELS & TOURS LIMITED,AHUON-OP-043,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0044,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,JUNE GLOBAL TOURS LTD,AHUON-OP-044,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0045,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KARAMCHI TRAVEL & TOURS LTD,AHUON-OP-045,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0046,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KAUTAL JUDE TRAVELS & TOURS LTD,AHUON-OP-046,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0047,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KHAIRAT TRAVEL & TOURS LTD,AHUON-OP-047,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0048,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KUSA TRAVELS AND TOURS NIG. LTD,AHUON-OP-048,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-6,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0049,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,M & M ROYAL TRAVEL & TOURS NIGERIA LTD,AHUON-OP-049,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0050,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,M.Y TRAVELLING AGENCY  LTD,AHUON-OP-050,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0051,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MA'ALESH TRAVEL & TOURS LTD,AHUON-OP-051,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0052,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MADAHANGA TRAVEL AND TOURS LIMITED,AHUON-OP-052,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0053,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MANAAH TRAVEL AND TOURS LTD,AHUON-OP-053,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0054,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MARHA TRAVEL & TOURS LTD,AHUON-OP-054,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0055,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MATASA WORLD WIDE TRAVEL AGENCY,AHUON-OP-055,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0056,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MECCA MAEDINA TRAVELS AGENCY LIMITED,AHUON-OP-056,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-7,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0057,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MEEQAT TRAVELS & TOURS LTD,AHUON-OP-057,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0058,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MEGA STAR MULTI LOGISTICS NIG. LTD,AHUON-OP-058,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0059,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MIFTAHUL KHAIR GLOBAL LINKS LTD,AHUON-OP-059,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0060,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MIFTAHUL KHAIR TRAVEL AND TOURS,AHUON-OP-060,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0061,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MM3 TRAVEL AGENCY LTD,AHUON-OP-061,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0062,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MOSLIMA TRAVELS & TOURS LTD,AHUON-OP-062,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0063,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MSL TRAVEL & TOURS LTD,AHUON-OP-063,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0064,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MUBASHIRIN AIR SERVICES LTD,AHUON-OP-064,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-8,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0065,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MUNDACHE TRAVEL & TOURS LTD,AHUON-OP-065,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0066,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MURNA TRAVEL AGENCY LTD,AHUON-OP-066,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0067,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,NASAF TRAVELS & TOURS LTD,AHUON-OP-067,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0068,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,NASMA TRAVEL & TOURS LTD,AHUON-OP-068,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0069,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,NAZHAB TRAVELS & TOURS LTD,AHUON-OP-069,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0070,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,NEIGHBORHOOD TRAVEL & CARGO SERVICES LTD,AHUON-OP-070,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0071,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,NEW ERA TRAVEL AND TOURS LTD,AHUON-OP-071,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0072,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,OASIS AIR SERVICES LIMITED,AHUON-OP-072,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-9,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0073,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,RAUDAH TRAVELS & TOURS LTD,AHUON-OP-073,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0074,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,RIHAB TRAVEL & TOURS LTD,AHUON-OP-074,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0075,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SABAB TRAVEL AND TOURS LTD,AHUON-OP-075,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0076,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SAHAL TRAVEL & TOURS LTD,AHUON-OP-076,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0077,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SANILAK TRAVEL & TOURS LTD,AHUON-OP-077,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0078,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SHADOW TRAVELS & TOURS LTD,AHUON-OP-078,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0079,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SIMPLE PIONEER TRAVEL & TOURS LTD,AHUON-OP-079,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0080,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SKYGATE TRAVELS & TOUR LTD,AHUON-OP-080,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-10,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0081,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SMY TRAVEL AGENCY LTD,AHUON-OP-081,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0082,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,STARBELL TRAVELS & TOURS LTD,AHUON-OP-082,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0083,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,T.S.U TRAVELS AND TOURS LTD,AHUON-OP-083,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0084,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TAISIR  TRAVELS AND TOURS LTD,AHUON-OP-084,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0085,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TERRITORIAL TRAVEL & TOURS NIG. LTD,AHUON-OP-085,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0086,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TOFA TRAVEL & TOURS LIMITED,AHUON-OP-086,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0087,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TRAVELNET & TOURS NIGERIA LIMITED,AHUON-OP-087,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0088,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TURA TRAVELS & TOURS LTD,AHUON-OP-088,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-11,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0089,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,U.A TRAVELS & TOURS LTD,AHUON-OP-089,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0090,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,UMRA AIR SERVICE LIMITED,AHUON-OP-090,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0091,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,VIGOKOP WINGS LTD,AHUON-OP-091,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0092,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,VISA TRAVELS & TOURS LTD,AHUON-OP-092,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0093,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,VISIT TRAVEL & TOURS LTD,AHUON-OP-093,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0094,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,YAKASAI AIR TRAVELS LTD,AHUON-OP-094,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0095,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,YANCH INTERNATIONAL AIR SERVICES LTD,AHUON-OP-095,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0096,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,YASREEB TRAVEL AND TOURS,AHUON-OP-096,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-12,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0097,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,YUS TARIWA GLOBAL TRAVEL & TOURS LTD,AHUON-OP-097,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-13,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0098,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ZANGO TRAVELS & TOURS LTD,AHUON-OP-098,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-13,AHUON-OPS-2026,GatePassX CLI
