pass_id,event_name,event_type,category,full_name,id_number,phone,organizer,valid_from,valid_to,gate,table_number,group_ref,issued_by
GPX-OPERATOR-2026-0111,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DANDURGU AIR TRAVELS & TOURS,AHUON-OP-111,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0112,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DARMA AIR SERVICES LIMITED,AHUON-OP-112,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0113,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,EMINASTA TRAVEL & TOURS LTD,AHUON-OP-113,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0114,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,GOLDEN TICKET TRAVELS & CARGO LTD,AHUON-OP-114,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0115,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,H & B INTERNATIONAL AIR SERVICES LTD,AHUON-OP-115,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0116,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,IBTISAM TRAVELS AND TOURS LTD,AHUON-OP-116,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0117,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,INFLUENTIAL TRAVEL NIGERIA LTD,AHUON-OP-117,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0118,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KHALEEL TRAVEL AND TOURS LTD,AHUON-OP-118,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0119,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KOFAR MATA  AIR SERVICES LTD,AHUON-OP-119,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0120,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,KOKI TRAVEL & TOURS NIGERIA LTD,AHUON-OP-120,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0121,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MADALLAH TRAVEL & TOURS LTD,AHUON-OP-121,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0122,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MADINA TRAVELS & TOURS LTD,AHUON-OP-122,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0123,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MAI KATAKO TRAVEL AND TOURS LTD,AHUON-OP-123,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0124,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MAIFARA TRAVEL AGENCY,AHUON-OP-124,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0125,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MAITANGARAN TRAVEL & TOURS LTD,AHUON-OP-125,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0126,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,MUNGADI AND TAISEER TRAVELS & TOURS LTD,AHUON-OP-126,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0127,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SHURAKA’A ALKHAIR TRAVELS LTD,AHUON-OP-127,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0128,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SKY TRUST TRAVEL AND TOURS LTD,AHUON-OP-128,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0129,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,SOLI AIR SERVICES LIMITED,AHUON-OP-129,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0130,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TRANSHOPE TRAVEL AND TOURS LTD,AHUON-OP-130,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0131,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TRAVEL DATA NIGERIA LTD,AHUON-OP-131,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0132,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,TRAVELERS GATE TRAVELS AND TOURS SERVICES LTD,AHUON-OP-132,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0133,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,YSG TRAVELS & TOURS LTD,AHUON-OP-133,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0134,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,YUSAB TRAVEL AND TOURS,AHUON-OP-134,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
